Organismo;CpG_Count
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;1
Phybl2;1
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;1
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;1
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;1
Phybl2;1
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;2
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;1
Phybl2;1
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;1
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;2
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;1
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;1
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;1
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;1
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;2
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;2
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;2
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;1
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;1
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;2
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;1
Phybl2;0
Phybl2;0
Phybl2;1
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;2
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;1
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;1
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;1
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;1
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;0
Phybl2;1
Phybl2;0
Phybl2;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;1
Liccor1;0
Liccor1;0
Liccor1;1
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;1
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;1
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;1
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;1
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;1
Liccor1;0
Liccor1;0
Liccor1;1
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;1
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;1
Liccor1;1
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;1
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
Liccor1;0
